Student Number,Person ID
1058734,56701
1058727,56694
1058656,56627
1058555,56529
1058339,56322
1058252,56239
1058230,56217
1058226,56214
1058221,56210
1058161,56156
1058150,56147
1058141,56138
1058125,56122
1058120,56117
1058113,56111
1058095,56095
1058072,56077
1058071,56076
1058013,56022
1057970,55982
1057958,55970
1057937,55949
1057910,55923
1057875,55891
1057846,55863
1057741,55773
1057737,55769
1057731,55763
1057693,55729
1057686,55722
1057667,55705
1057637,55677
1057553,55601
1057541,55590
1057425,55483
1057328,55390
1057299,55362
1057292,55356
1057289,55353
1057261,55325
1057235,55302
1057223,55292
1057163,55236
1057124,55198
1056975,55062
1056742,54853
1056734,54845
1056733,54844
1056695,54809
1056653,54771
1056584,54705
1056474,54600
1056166,54318
1056159,54311
1056056,54207
1055901,54058
1055695,53850
1055672,53825
1055076,53210
1054924,53050
1054798,52927
1054780,52908
1054407,52530
1054342,52468
1054200,52338
1054051,52198
1053926,52085
1053834,51996
1053714,51883
1053486,51669
1053467,51652
1053394,51584
1053221,51421
1053171,51372
1053073,51281
1053066,51275
1052995,51207
1052936,51155
1052934,51153
1052933,51152
1052928,51147
1052838,51065
1052835,51062
1052822,51049
1052721,50955
1052698,50934
1052643,50883
1052636,50876
1052592,50833
1052391,50645
1052257,50525
1052058,50335
1052035,50312
1051934,50219
1051768,50067
1051716,50015
1051657,49961
1051643,49947
1051479,49792
1051470,49783
1051352,49675
1051319,49644
1051002,49353
1050998,49350
1050991,49343
1050651,49017
1050616,48983
1050521,48895
1050302,48673
1050277,48647
1050273,48643
1050214,48582
1050194,48562
1050180,48548
1050150,48520
1050122,48492
1049692,48048
1049639,47991
1049550,47897
1049343,47696
1049255,47609
1049101,47463
1049082,47446
1049072,47437
1048989,47362
1048979,47354
1048963,47340
1048941,47320
1048746,47135
1048321,46741
1047936,46396
1047880,46341
1047848,46310
1047839,46301
1047790,46255
1047750,46217
1047620,46096
1047608,46085
1047423,45909
1047175,45682
1046924,45450
1046882,45411
1046575,45130
1046346,44915
1046060,44641
1045478,44095
1044709,43379
1044702,43374
1044436,43119
1043260,42023
1043194,41960
1042809,41602
1042541,41347
1041519,40315
1041091,39873
1040568,39340
1040556,39328
1040542,39313
1040527,39296
1040136,38904
1039990,38758
1039819,38586
1039799,38566
1039616,38388
1039574,38346
1039361,38134
1039355,38127
1038580,37351
1038333,37114
1038141,36928
1038099,36889
1037994,36789
1037881,36683
1037201,36028
1036676,35601
1036655,35583
1036598,35527
1036596,35525
1036547,35480
1036404,35351
1036392,35341
1035740,34779
1035709,34752
1035426,34484
1035311,34372
1034803,33908
1034763,33869
1034453,33575
1034282,33418
1034158,33297
1034027,33166
1033735,32885
1033727,32877
1033723,32873
1033702,32853
1033694,32846
1033302,32462
1032745,31914
1032741,31910
1032689,31855
1032663,31829
1032065,31283
1032064,31282
1031097,30366
1031003,30278
1030953,30234
1030880,30164
1030861,30146
1030522,29834
1030193,29514
1030099,29417
1029982,29303
1029889,29209
1029718,29038
1029523,28837
1029454,28766
1029426,28736
1029419,28728
1029399,28707
1029149,28450
1029126,28425
1029020,28312
1028799,28089
1028245,27549
1028090,27392
1028042,27343
1028027,27327
1027943,27244
1027819,27118
1027438,26734
1027430,26726
1027332,26636
1027066,26398
1027015,26344
